  8/256 bit 1502   tree A match=True  conflicts=0   running: match 8, conflict 0, t=13s
  9/256 bit 1544   tree A match=False conflicts=0   running: match 8, conflict 0, t=27s
 10/256 bit 1571   tree A match=True  conflicts=0   running: match 9, conflict 0, t=41s
 11/256 bit 1685   tree A match=True  conflicts=0   running: match 10, conflict 0, t=54s
 12/256 bit 1695   tree A match=True  conflicts=0   running: match 11, conflict 0, t=68s
 13/256 bit 1746   tree A match=True  conflicts=0   running: match 12, conflict 0, t=81s
 14/256 bit 1931   tree A match=True  conflicts=0   running: match 13, conflict 0, t=96s
 15/256 bit 2055   tree A match=True  conflicts=0   running: match 14, conflict 0, t=112s
 16/256 bit 2143   tree A match=True  conflicts=0   running: match 15, conflict 0, t=128s
 17/256 bit 2229   tree A match=True  conflicts=0   running: match 16, conflict 0, t=144s
 18/256 bit 2527   tree A match=True  conflicts=0   running: match 17, conflict 0, t=160s
 19/256 bit 2779   tree A match=True  conflicts=0   running: match 18, conflict 0, t=175s
 20/256 bit 3106   tree A match=True  conflicts=0   running: match 19, conflict 0, t=189s
 21/256 bit 3216   tree A match=True  conflicts=0   running: match 20, conflict 0, t=204s
 22/256 bit 3320   tree A match=True  conflicts=0   running: match 21, conflict 0, t=218s
 23/256 bit 3414   tree A match=True  conflicts=0   running: match 22, conflict 0, t=232s
 24/256 bit 3707   tree A match=True  conflicts=0   running: match 23, conflict 0, t=246s
 25/256 bit 4279   tree A match=True  conflicts=0   running: match 24, conflict 0, t=259s
 26/256 bit 4362   tree A match=True  conflicts=0   running: match 25, conflict 0, t=274s
 27/256 bit 4381   tree A match=True  conflicts=0   running: match 26, conflict 0, t=288s
 28/256 bit 4940   tree A match=True  conflicts=0   running: match 27, conflict 0, t=301s
 29/256 bit 5148   tree A match=True  conflicts=0   running: match 28, conflict 0, t=315s
 30/256 bit 5584   tree A match=True  conflicts=0   running: match 29, conflict 0, t=329s
 31/256 bit 5630   tree A match=True  conflicts=0   running: match 30, conflict 0, t=342s
 32/256 bit 5651   tree A match=True  conflicts=0   running: match 31, conflict 0, t=354s
 33/256 bit 5663   tree A match=True  conflicts=0   running: match 32, conflict 0, t=367s
 34/256 bit 6143   tree A match=True  conflicts=0   running: match 33, conflict 0, t=380s
 35/256 bit 6177   tree A match=True  conflicts=0   running: match 34, conflict 0, t=392s
 36/256 bit 6503   tree A match=True  conflicts=0   running: match 35, conflict 0, t=403s
 37/256 bit 6825   tree A match=True  conflicts=0   running: match 36, conflict 0, t=414s
 38/256 bit 7029   tree A match=True  conflicts=0   running: match 37, conflict 0, t=426s
 39/256 bit 7151   tree A match=True  conflicts=0   running: match 38, conflict 0, t=440s
 40/256 bit 7745   tree A match=True  conflicts=0   running: match 39, conflict 0, t=453s
 41/256 bit 7780   tree A match=True  conflicts=0   running: match 40, conflict 0, t=467s
 42/256 bit 8319   tree A match=True  conflicts=0   running: match 41, conflict 0, t=479s
 43/256 bit 8441   tree A match=True  conflicts=0   running: match 42, conflict 0, t=491s
 44/256 bit 8757   tree A match=True  conflicts=0   running: match 43, conflict 0, t=512s
 45/256 bit 9294   tree A match=True  conflicts=0   running: match 44, conflict 0, t=526s
 46/256 bit 9601   tree A match=True  conflicts=0   running: match 45, conflict 0, t=541s
 47/256 bit 10255  tree A match=True  conflicts=0   running: match 46, conflict 0, t=555s
