=== cfg0: 3 channels, sizes [178, 41, 21], base bad=[20215, 28647]
  mask(0, 0, 0) (None, None, None): fails=28 score=39005 bad=[20215, 28647] (2s)
    *** NEW BEST 39005 ***
  mask(0, 0, 1) (None, None, 490): fails=56 score=38977 bad=[20215, 26960, 26963, 26965, 28647, 30479, 30480, 40306] (4s)
  mask(0, 0, 1) (None, None, 2081): fails=72 score=38961 bad=[20215, 26215, 26960, 26963, 26965, 28647, 35416, 40306] (4s)
  mask(0, 1, 0) (None, 91, None): fails=41 score=38992 bad=[21548, 21549, 28035, 28037, 28647, 40530] (2s)
  mask(0, 1, 0) (None, 1203, None): fails=48 score=38985 bad=[28035, 28037, 28647, 38540, 39589] (2s)
  mask(0, 1, 1) (None, 91, 490): fails=87 score=38946 bad=[7389, 10187, 21548, 21549, 26960, 26963, 26965, 28035] (3s)
  mask(0, 1, 1) (None, 91, 2081): fails=103 score=38930 bad=[7389, 10187, 21548, 21549, 26215, 26960, 26963, 26965] (3s)
  mask(0, 1, 1) (None, 1203, 490): fails=94 score=38939 bad=[7389, 10187, 26960, 26963, 26965, 28035, 28037, 28647] (4s)
  mask(0, 1, 1) (None, 1203, 2081): fails=110 score=38923 bad=[7389, 10187, 26215, 26960, 26963, 26965, 28035, 28037] (4s)
  mask(1, 0, 0) (47, None, None): fails=64 score=38969 bad=[20649, 20652, 25148, 28647, 32148, 37872] (2s)
  mask(1, 0, 0) (112, None, None): fails=46 score=38987 bad=[20649, 20652, 28647, 30126, 30127, 32148] (2s)
  mask(1, 0, 1) (47, None, 490): fails=107 score=38926 bad=[10187, 20649, 20652, 25148, 26960, 26963, 26965, 28647] (3s)
  mask(1, 0, 1) (47, None, 2081): fails=123 score=38910 bad=[10187, 20649, 20652, 25148, 26215, 26960, 26963, 26965] (3s)
  mask(1, 0, 1) (112, None, 490): fails=89 score=38944 bad=[10187, 20649, 20652, 26960, 26963, 26965, 28647, 30126] (2s)
  mask(1, 0, 1) (112, None, 2081): fails=105 score=38928 bad=[10187, 20649, 20652, 26215, 26960, 26963, 26965, 28647] (2s)
  mask(1, 1, 0) (47, 91, None): fails=92 score=38941 bad=[20649, 20652, 21548, 21549, 25148, 28035, 28037, 28647] (2s)
  mask(1, 1, 0) (47, 1203, None): fails=99 score=38934 bad=[20649, 20652, 25148, 28035, 28037, 28647, 32148, 37872] (2s)
  mask(1, 1, 0) (112, 91, None): fails=74 score=38959 bad=[20649, 20652, 21548, 21549, 28035, 28037, 28647, 30126] (2s)
  mask(1, 1, 0) (112, 1203, None): fails=81 score=38952 bad=[20649, 20652, 28035, 28037, 28647, 30126, 30127, 32148] (1s)
  mask(1, 1, 1) (47, 91, 490): fails=138 score=38895 bad=[7389, 10187, 20649, 20652, 21548, 21549, 25148, 26960] (2s)
  mask(1, 1, 1) (47, 91, 2081): fails=154 score=38879 bad=[7389, 10187, 20649, 20652, 21548, 21549, 25148, 26215] (3s)
  mask(1, 1, 1) (47, 1203, 490): fails=145 score=38888 bad=[7389, 10187, 20649, 20652, 25148, 26960, 26963, 26965] (3s)
  mask(1, 1, 1) (47, 1203, 2081): fails=161 score=38872 bad=[7389, 10187, 20649, 20652, 25148, 26215, 26960, 26963] (3s)
  mask(1, 1, 1) (112, 91, 490): fails=120 score=38913 bad=[7389, 10187, 20649, 20652, 21548, 21549, 26960, 26963] (2s)
  mask(1, 1, 1) (112, 91, 2081): fails=136 score=38897 bad=[7389, 10187, 20649, 20652, 21548, 21549, 26215, 26960] (2s)
  mask(1, 1, 1) (112, 1203, 490): fails=127 score=38906 bad=[7389, 10187, 20649, 20652, 26960, 26963, 26965, 28035] (2s)
  mask(1, 1, 1) (112, 1203, 2081): fails=143 score=38890 bad=[7389, 10187, 20649, 20652, 26215, 26960, 26963, 26965] (2s)
=== cfg5: 4 channels, sizes [178, 41, 21, 7], base bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803, 20215, 21958, 27585, 28647, 31548]
  mask(0, 0, 0, 0) (None, None, None, None): fails=116 score=38917 bad=[392, 715, 722, 724, 18800, 18803, 20215, 21958] (3s)
  mask(0, 0, 0, 1) (None, None, None, 1530): fails=28 score=39005 bad=[20215, 28647] (2s)
  mask(0, 0, 0, 1) (None, None, None, 5643): fails=126 score=38907 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (2s)
  mask(0, 0, 1, 0) (None, None, 490, None): fails=144 score=38889 bad=[392, 715, 722, 724, 18800, 18803, 20215, 21958] (3s)
  mask(0, 0, 1, 0) (None, None, 2081, None): fails=160 score=38873 bad=[392, 715, 722, 724, 18800, 18803, 20215, 21958] (3s)
  mask(0, 0, 1, 1) (None, None, 490, 1530): fails=56 score=38977 bad=[20215, 26960, 26963, 26965, 28647, 30479, 30480, 40306] (3s)
  mask(0, 0, 1, 1) (None, None, 490, 5643): fails=154 score=38879 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (3s)
  mask(0, 0, 1, 1) (None, None, 2081, 1530): fails=72 score=38961 bad=[20215, 26215, 26960, 26963, 26965, 28647, 35416, 40306] (3s)
  mask(0, 0, 1, 1) (None, None, 2081, 5643): fails=170 score=38863 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (3s)
  mask(0, 1, 0, 0) (None, 91, None, None): fails=147 score=38886 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(0, 1, 0, 0) (None, 1203, None, None): fails=154 score=38879 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(0, 1, 0, 1) (None, 91, None, 1530): fails=41 score=38992 bad=[21548, 21549, 28035, 28037, 28647, 40530] (2s)
  mask(0, 1, 0, 1) (None, 91, None, 5643): fails=139 score=38894 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (2s)
  mask(0, 1, 0, 1) (None, 1203, None, 1530): fails=48 score=38985 bad=[28035, 28037, 28647, 38540, 39589] (2s)
  mask(0, 1, 0, 1) (None, 1203, None, 5643): fails=146 score=38887 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (2s)
  mask(0, 1, 1, 0) (None, 91, 490, None): fails=175 score=38858 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(0, 1, 1, 0) (None, 91, 2081, None): fails=191 score=38842 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(0, 1, 1, 0) (None, 1203, 490, None): fails=182 score=38851 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(0, 1, 1, 0) (None, 1203, 2081, None): fails=198 score=38835 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (4s)
  mask(0, 1, 1, 1) (None, 91, 490, 1530): fails=87 score=38946 bad=[7389, 10187, 21548, 21549, 26960, 26963, 26965, 28035] (3s)
  mask(0, 1, 1, 1) (None, 91, 490, 5643): fails=185 score=38848 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(0, 1, 1, 1) (None, 91, 2081, 1530): fails=103 score=38930 bad=[7389, 10187, 21548, 21549, 26215, 26960, 26963, 26965] (3s)
  mask(0, 1, 1, 1) (None, 91, 2081, 5643): fails=201 score=38832 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(0, 1, 1, 1) (None, 1203, 490, 1530): fails=94 score=38939 bad=[7389, 10187, 26960, 26963, 26965, 28035, 28037, 28647] (4s)
  mask(0, 1, 1, 1) (None, 1203, 490, 5643): fails=192 score=38841 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (4s)
  mask(0, 1, 1, 1) (None, 1203, 2081, 1530): fails=110 score=38923 bad=[7389, 10187, 26215, 26960, 26963, 26965, 28035, 28037] (4s)
  mask(0, 1, 1, 1) (None, 1203, 2081, 5643): fails=208 score=38825 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (4s)
  mask(1, 0, 0, 0) (47, None, None, None): fails=167 score=38866 bad=[392, 715, 722, 724, 10187, 18800, 18803, 20649] (2s)
  mask(1, 0, 0, 0) (112, None, None, None): fails=149 score=38884 bad=[392, 715, 722, 724, 10187, 18800, 18803, 20649] (2s)
  mask(1, 0, 0, 1) (47, None, None, 1530): fails=64 score=38969 bad=[20649, 20652, 25148, 28647, 32148, 37872] (2s)
